Jurisdiction,Year,avg_wage,median_wage,Abbreviation
Alberta,1965,0.975,0.975,AB
Alberta,1966,1,1,AB
Alberta,1967,1.15,1.15,AB
Alberta,1968,1.25,1.25,AB
Alberta,1970,1.475,1.475,AB
Alberta,1973,1.825,1.825,AB
Alberta,1974,2,2,AB
Alberta,1975,2.375,2.375,AB
Alberta,1976,2.75,2.75,AB
Alberta,1977,3,3,AB
Alberta,1980,3.5,3.5,AB
Alberta,1981,3.8,3.8,AB
Alberta,1988,4.5,4.5,AB
Alberta,1992,5,5,AB
Alberta,1998,5.4,5.4,AB
Alberta,1999,5.775,5.775,AB
Alberta,2005,7,7,AB
Alberta,2007,8,8,AB
Alberta,2008,8.4,8.4,AB
Alberta,2009,8.8,8.8,AB
Alberta,2011,9.4,9.4,AB
Alberta,2012,9.75,9.75,AB
Alberta,2013,9.95,9.95,AB
Alberta,2014,10.2,10.2,AB
Alberta,2015,11.2,11.2,AB
Alberta,2016,12.2,12.2,AB
Alberta,2017,13.6,13.6,AB
Alberta,2018,15,15,AB
British Columbia,1965,1,1,BC
British Columbia,1967,1.175,1.175,BC
British Columbia,1970,1.5,1.5,BC
British Columbia,1972,2,2,BC
British Columbia,1973,2.25,2.25,BC
British Columbia,1974,2.5,2.5,BC
British Columbia,1975,2.75,2.75,BC
British Columbia,1976,3,3,BC
British Columbia,1980,3.525,3.525,BC
British Columbia,1988,4.5,4.5,BC
British Columbia,1989,4.75,4.75,BC
British Columbia,1990,5,5,BC
British Columbia,1992,5.5,5.5,BC
British Columbia,1993,6,6,BC
British Columbia,1995,6.75,6.75,BC
British Columbia,1998,7.15,7.15,BC
British Columbia,2000,7.6,7.6,BC
British Columbia,2001,8,8,BC
British Columbia,2011,9.125,9.125,BC
British Columbia,2012,10.25,10.25,BC
British Columbia,2015,10.45,10.45,BC
British Columbia,2016,10.85,10.85,BC
British Columbia,2017,11.35,11.35,BC
British Columbia,2018,12.65,12.65,BC
British Columbia,2019,13.85,13.85,BC
British Columbia,2020,14.6,14.6,BC
British Columbia,2021,15.2,15.2,BC
Manitoba,1965,0.775,0.775,MB
Manitoba,1966,0.9400000000000001,0.92,MB
Manitoba,1967,1.1,1.1,MB
Manitoba,1968,1.2,1.2,MB
Manitoba,1969,1.35,1.35,MB
Manitoba,1970,1.5,1.5,MB
Manitoba,1971,1.65,1.65,MB
Manitoba,1972,1.75,1.75,MB
Manitoba,1973,1.9,1.9,MB
Manitoba,1974,2.15,2.15,MB
Manitoba,1975,2.45,2.45,MB
Manitoba,1976,2.95,2.95,MB
Manitoba,1979,3.05,3.05,MB
Manitoba,1980,3.15,3.15,MB
Manitoba,1981,3.45,3.45,MB
Manitoba,1982,4,4,MB
Manitoba,1985,4.3,4.3,MB
Manitoba,1987,4.6,4.6,MB
Manitoba,1991,5,5,MB
Manitoba,1995,5.25,5.25,MB
Manitoba,1996,5.4,5.4,MB
Manitoba,1999,6,6,MB
Manitoba,2001,6.25,6.25,MB
Manitoba,2002,6.5,6.5,MB
Manitoba,2003,6.75,6.75,MB
Manitoba,2004,7,7,MB
Manitoba,2005,7.25,7.25,MB
Manitoba,2006,7.6,7.6,MB
Manitoba,2007,8,8,MB
Manitoba,2008,8.5,8.5,MB
Manitoba,2009,8.875,8.875,MB
Manitoba,2010,9.5,9.5,MB
Manitoba,2011,10,10,MB
Manitoba,2012,10.25,10.25,MB
Manitoba,2013,10.45,10.45,MB
Manitoba,2014,10.7,10.7,MB
Manitoba,2015,11,11,MB
Manitoba,2017,11.15,11.15,MB
Manitoba,2018,11.35,11.35,MB
Manitoba,2019,11.65,11.65,MB
Manitoba,2020,11.9,11.9,MB
Manitoba,2021,11.95,11.95,MB
New Brunswick,1965,0.775,0.775,NB
New Brunswick,1966,0.9,0.9,NB
New Brunswick,1968,1,1,NB
New Brunswick,1970,1.15,1.15,NB
New Brunswick,1971,1.25,1.25,NB
New Brunswick,1972,1.4,1.4,NB
New Brunswick,1973,1.5,1.5,NB
New Brunswick,1974,1.825,1.825,NB
New Brunswick,1975,2.2249999999999996,2.2249999999999996,NB
New Brunswick,1976,2.675,2.675,NB
New Brunswick,1980,3.2,3.2,NB
New Brunswick,1982,3.8,3.8,NB
New Brunswick,1986,4,4,NB
New Brunswick,1989,4.375,4.375,NB
New Brunswick,1990,4.75,4.75,NB
New Brunswick,1991,5,5,NB
New Brunswick,1996,5.375,5.375,NB
New Brunswick,2000,5.75,5.75,NB
New Brunswick,2001,5.9,5.9,NB
New Brunswick,2002,6,6,NB
New Brunswick,2004,6.2,6.2,NB
New Brunswick,2005,6.3,6.3,NB
New Brunswick,2006,6.6,6.6,NB
New Brunswick,2007,7.125,7.125,NB
New Brunswick,2008,7.75,7.75,NB
New Brunswick,2009,8.125,8.125,NB
New Brunswick,2010,8.75,8.75,NB
New Brunswick,2011,9.5,9.5,NB
New Brunswick,2012,10,10,NB
New Brunswick,2014,10.3,10.3,NB
New Brunswick,2016,10.65,10.65,NB
New Brunswick,2017,11,11,NB
New Brunswick,2018,11.25,11.25,NB
New Brunswick,2019,11.5,11.5,NB
New Brunswick,2021,11.75,11.75,NB
Newfoundland and Labrador,1965,0.6,0.6,NL
Newfoundland and Labrador,1968,0.9750000000000001,0.9750000000000001,NL
Newfoundland and Labrador,1970,1.125,1.125,NL
Newfoundland and Labrador,1972,1.4,1.4,NL
Newfoundland and Labrador,1974,1.9,1.9,NL
Newfoundland and Labrador,1975,2.2,2.2,NL
Newfoundland and Labrador,1976,2.5,2.5,NL
Newfoundland and Labrador,1979,2.8,2.8,NL
Newfoundland and Labrador,1980,3.15,3.15,NL
Newfoundland and Labrador,1981,3.45,3.45,NL
Newfoundland and Labrador,1983,3.75,3.75,NL
Newfoundland and Labrador,1985,4,4,NL
Newfoundland and Labrador,1988,4.25,4.25,NL
Newfoundland and Labrador,1991,4.75,4.75,NL
Newfoundland and Labrador,1996,5,5,NL
Newfoundland and Labrador,1997,5.25,5.25,NL
Newfoundland and Labrador,1999,5.5,5.5,NL
Newfoundland and Labrador,2002,5.875,5.875,NL
Newfoundland and Labrador,2005,6.25,6.25,NL
Newfoundland and Labrador,2006,6.625,6.625,NL
Newfoundland and Labrador,2007,7.25,7.25,NL
Newfoundland and Labrador,2008,8,8,NL
Newfoundland and Labrador,2009,8.75,8.75,NL
Newfoundland and Labrador,2010,9.75,9.75,NL
Newfoundland and Labrador,2014,10.25,10.25,NL
Newfoundland and Labrador,2015,10.5,10.5,NL
Newfoundland and Labrador,2017,10.875,10.875,NL
Newfoundland and Labrador,2018,11.15,11.15,NL
Newfoundland and Labrador,2020,11.9,11.9,NL
Newfoundland and Labrador,2021,12.5,12.5,NL
Northwest Territories,1968,1.25,1.25,NT
Northwest Territories,1970,1.5,1.5,NT
Northwest Territories,1973,2,2,NT
Northwest Territories,1974,2.5,2.5,NT
Northwest Territories,1976,3,3,NT
Northwest Territories,1980,3.5,3.5,NT
Northwest Territories,1982,4.25,4.25,NT
Northwest Territories,1986,5,5,NT
Northwest Territories,1991,7,7,NT
Northwest Territories,2003,8.25,8.25,NT
Northwest Territories,2010,9,9,NT
Northwest Territories,2011,10,10,NT
Northwest Territories,2015,12.5,12.5,NT
Northwest Territories,2018,13.46,13.46,NT
Northwest Territories,2021,15.2,15.2,NT
